H,Q,Tin,R_borehole,final_Tout,mean_Tout,mean_Tout_after_1_year,final_power_W,mean_power_W,mean_power_after_1_year,cumulative_energy_MWh
2000.0,15.0,10.0,0.1,17.494627770030874,18.175473105703542,17.94109985380968,131155.9859755403,143070.77934981196,138969.2474416694,24991.371008606853
2000.0,30.0,10.0,0.1,13.879907874852538,14.24725232555898,14.119116109270161,135796.77561983882,148653.83139456424,144169.0638244556,25936.280193357332
2000.0,40.0,10.0,0.1,12.93546188191205,13.216263543362,13.117990843820374,136988.22115589562,150092.29869022674,145506.23937828408,26178.259820878706
2500.0,15.0,10.0,0.1,21.232018638956802,22.2325148684959,21.890251552593654,196560.32618174405,214069.01019867824,208079.4021703889,37410.29897457044
2500.0,30.0,10.0,0.1,15.862149811775597,16.411773386395318,16.220654199961405,205175.24341214588,224412.0685238361,217722.8969986491,39166.086937834916
2500.0,40.0,10.0,0.1,14.444306003817754,14.86634311716229,14.718988257027693,207400.94684482852,227096.01213424024,220219.45199462565,39618.575700324174
3000.0,15.0,10.0,0.1,25.640666383422122,27.006726614259136,26.542307924583536,273711.66170988715,297617.7157495349,289490.38868021185,52032.177166843896
3000.0,30.0,10.0,0.1,18.22914572381641,18.99319385365006,18.728342209357944,288020.1003335743,314761.78487775207,305491.97732752794,54950.305348173926
3000.0,40.0,10.0,0.1,16.251575713815168,16.840909686139394,16.63562449626003,291740.1999780412,319242.4520198384,309662.47649213474,55707.26298558229
